"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"199","Eucalyptus gregsoniana","Eucalyptus gregsoniana","Eucalyptus gregsoniana","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"200","Eucalyptus gummifera","Corymbia gummifera","Corymbia gummifera","branches rough, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"201","Eucalyptus gunnii","Eucalyptus gunnii","Eucalyptus gunnii","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"202","Eucalyptus haemastoma","Eucalyptus haemastoma","Eucalyptus haemastoma","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"203","Eucalyptus haemastoma x racemosa","Eucalyptus haemastoma x racemosa","Eucalyptus haemastoma","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"204","Eucalyptus henryi","Corymbia henryi","Corymbia henryi","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"205","Eucalyptus hypostomatica","Eucalyptus hypostomatica","Eucalyptus hypostomatica","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"206","Eucalyptus ignorabilis","Eucalyptus ignorabilis","Eucalyptus ignorabilis","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"207","Eucalyptus imitans","Eucalyptus imitans","Eucalyptus imitans","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"208","Eucalyptus incrassata","Eucalyptus costata subsp. murrayana","Eucalyptus incrassata","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, rough bark imperfectly shed, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"209","Eucalyptus intermedia","Corymbia intermedia","Corymbia intermedia","branches rough, no ribbons in branches, wholly rough, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"210","Eucalyptus interstans","Eucalyptus interstans","Eucalyptus interstans","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
