"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"399","Eucalyptus tereticornis","Eucalyptus tereticornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"401","Eucalyptus terminalis","Corymbia tumescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Eucalyptus tessellaris","Corymbia tessellaris","Corymbia tessellaris","branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"403","Eucalyptus tetrapleura","Eucalyptus tetrapleura","Eucalyptus tetrapleura","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"404","Eucalyptus tindaliae","Eucalyptus tindaliae","Eucalyptus tindaliae","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"405","Eucalyptus torelliana","Corymbia torelliana","Corymbia torelliana","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark imperfectly shed, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"406","Eucalyptus tricarpa","Eucalyptus tricarpa","Eucalyptus tricarpa","branches rough, no ribbons in branches, wholly rough, rough bark ironbark",NA,NA,NA,NA,NA,NA,NA,NA
"407","Eucalyptus triflora","Eucalyptus triflora","Eucalyptus triflora","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark compacted, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"408","Eucalyptus triplex","Eucalyptus triplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Eucalyptus umbra","Eucalyptus umbra","Eucalyptus umbra","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"410","Eucalyptus umbra subsp. umbra","Eucalyptus umbra","Eucalyptus umbra","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"411","Eucalyptus vicina","Eucalyptus vicina","Eucalyptus vicina","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"412","Eucalyptus viminalis","Eucalyptus viminalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Eucalyptus viminalis subsp. luxurians","Eucalyptus viminalis subsp. luxurians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Eucalyptus viminalis subsp. viminalis","Eucalyptus viminalis","Eucalyptus viminalis subsp. viminalis","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"415","Eucalyptus viridis","Eucalyptus viridis","Eucalyptus viridis","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"416","Eucalyptus volcanica","Eucalyptus volcanica","Eucalyptus volcanica","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"417","Eucalyptus wilcoxii","Eucalyptus wilcoxii","Eucalyptus wilcoxii","branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"418","Eucalyptus williamsiana","Eucalyptus williamsiana","Eucalyptus williamsiana","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"419","Eucalyptus youmanii","Eucalyptus youmanii","Eucalyptus youmanii","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
