"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Eucalyptus dalrympleana subsp. heptantha","Eucalyptus dalrympleana subsp. heptantha","Eucalyptus dalrympleana subsp. heptantha","Eucalyptus dalrympleana subsp. heptantha",NA
"","Eucalyptus dalrympleana x viminalis","Eucalyptus dalrympleana x viminalis","No match",NA
"Eucalyptus dawsonii","Eucalyptus dawsonii","Eucalyptus dawsonii","Eucalyptus dawsonii",NA
"Eucalyptus dealbata","Eucalyptus dealbata","Eucalyptus dealbata","Eucalyptus dealbata",NA
"","Eucalyptus dealbata x dwyeri","Eucalyptus dealbata x dwyeri","No match",NA
"Eucalyptus deanei","Eucalyptus deanei","Eucalyptus deanei","Eucalyptus deanei",NA
"Eucalyptus pauciflora subsp. debeuzevillei","Eucalyptus debeuzevillei","Eucalyptus debeuzevillei","Eucalyptus pauciflora subsp. debeuzevillei",NA
"Eucalyptus pauciflora subsp. debeuzevillei","Eucalyptus debeuzevillei","Eucalyptus pauciflora subsp. debeuzevillei","Eucalyptus pauciflora subsp. debeuzevillei",NA
"Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis","Eucalyptus delegatensis subsp. delegatensis",NA
"Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis","Eucalyptus delegatensis subsp. delegatensis",NA
"Eucalyptus dendromorpha","Eucalyptus dendromorpha","Eucalyptus dendromorpha","Eucalyptus dendromorpha",NA
"Eucalyptus moorei subsp. moorei","Eucalyptus dissita","Eucalyptus dissita","Eucalyptus moorei subsp. moorei",NA
"Eucalyptus dives","Eucalyptus dives","Eucalyptus dives","Eucalyptus dives",NA
"","Eucalyptus dives x pauciflora","Eucalyptus dives x pauciflora","No match",NA
"","Eucalyptus dives x rossii","Eucalyptus dives x rossii","No match",NA
"Eucalyptus dorrigoensis","Eucalyptus dorrigoensis","Eucalyptus dorrigoensis","Eucalyptus dorrigoensis",NA
"Eucalyptus dumosa","Eucalyptus dumosa","Eucalyptus dumosa","Eucalyptus dumosa",NA
"Eucalyptus dunnii","Eucalyptus dunnii","Eucalyptus dunnii","Eucalyptus dunnii",NA
"Eucalyptus dwyeri","Eucalyptus dwyeri","Eucalyptus dwyeri","Eucalyptus dwyeri",NA
"Eucalyptus elata","Eucalyptus elata","Eucalyptus elata","Eucalyptus elata",NA
"Eucalyptus elegans","Eucalyptus elegans","Eucalyptus elegans","NA",NA
"Eucalyptus elliptica","Eucalyptus elliptica","Eucalyptus elliptica","Eucalyptus elliptica",NA
"Eucalyptus eugenioides","Eucalyptus eugenioides","Eucalyptus eugenioides","Eucalyptus eugenioides",NA
"Eucalyptus eugenioides","Eucalyptus eugenioides","Eucalyptus nigra","Eucalyptus eugenioides",NA
"","Eucalyptus eugenioides x globoidea","Eucalyptus eugenioides x globoidea","No match",NA
"Eucalyptus expressa","Eucalyptus expressa","Eucalyptus expressa","Eucalyptus expressa",NA
"Eucalyptus exserta","Eucalyptus exserta","Eucalyptus exserta","Eucalyptus exserta",NA
"Eucalyptus fastigata","Eucalyptus fastigata","Eucalyptus fastigata","Eucalyptus fastigata",NA
"Eucalyptus paniculata","Eucalyptus fergusonii","Eucalyptus fergusonii","NA",NA
"Eucalyptus paniculata","Eucalyptus fergusonii subsp. dorsiventralis","Eucalyptus fergusonii subsp. dorsiventralis","Eucalyptus sp. Dorsiventralis",NA
"Eucalyptus paniculata","Eucalyptus fergusonii subsp. fergusonii","Eucalyptus fergusonii subsp. fergusonii","NA",NA
