species,bark
Eucalyptus sepulcralis,partly or all smooth
Eucalyptus serraensis,partly or all smooth
Eucalyptus sessilis,partly or all smooth
Eucalyptus sheathiana,partly or all smooth
Eucalyptus sieberi,partly or all smooth
Eucalyptus singularis,partly or all smooth
Eucalyptus sinuosa,partly or all smooth
Eucalyptus smithii,partly or all smooth
Eucalyptus socialis subsp. socialis,partly or all smooth
Eucalyptus socialis subsp. victoriensis,partly or all smooth
Eucalyptus socialis subsp. viridans,partly or all smooth
Eucalyptus sp. Kalbarri,partly or all smooth
Eucalyptus sp. Southern Wheatbelt,partly or all smooth
Eucalyptus sp. Undulans,partly or all smooth
Eucalyptus sparsa,partly or all smooth
Eucalyptus spathulata subsp. salina,partly or all smooth
Eucalyptus spathulata subsp. spathulata,partly or all smooth
Eucalyptus sporadica,partly or all smooth
Eucalyptus spreta,partly or all smooth
Eucalyptus steedmanii,partly or all smooth
Eucalyptus stellulata,partly or all smooth
Eucalyptus stenostoma,partly or all smooth
Eucalyptus stoatei,partly or all smooth
Eucalyptus stowardii,partly or all smooth
Eucalyptus striaticalyx,partly or all smooth
Eucalyptus stricklandii,partly or all smooth
Eucalyptus stricta,partly or all smooth
Eucalyptus strzeleckii,partly or all smooth
Eucalyptus sturgissiana,partly or all smooth
Eucalyptus subangusta subsp. cerina,partly or all smooth
Eucalyptus subangusta subsp. pusilla,partly or all smooth
Eucalyptus subangusta subsp. subangusta,partly or all smooth
Eucalyptus subangusta subsp. virescens,partly or all smooth
Eucalyptus subcrenulata,partly or all smooth
Eucalyptus suberea,partly or all smooth
Eucalyptus subtilis,partly or all smooth
Eucalyptus suggrandis subsp. promiscua,partly or all smooth
Eucalyptus suggrandis subsp. suggrandis,partly or all smooth
Eucalyptus surgens,partly or all smooth
Eucalyptus synandra,partly or all smooth
Eucalyptus talyuberlup,partly or all smooth
Eucalyptus tenera,partly or all smooth
Eucalyptus tenuiramis,partly or all smooth
Eucalyptus tenuis,partly or all smooth
