"","species","branches.minnirichi","branches.rough","branches.smooth","no.ribbons.in.branches","ribbons.in.branches","fibrous","main.minnirichi","partly.rough","wholly.rough","wholly.smooth","rough.bark.loose.basal.slabs","rough.bark.box.type","rough.bark.compacted","rough.bark.imperfectly.shed","rough.bark.ironbark","rough.bark.tessellated","partly.or.all.smooth"
"385","Eucalyptus alligatrix subsp. miscella",NA,NA,"yes","yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA
"386","Eucalyptus ammophila",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"387","Eucalyptus amplifolia subsp. amplifolia",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"388","Eucalyptus amplifolia subsp. sessiliflora",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"389","Eucalyptus amygdalina",NA,NA,"yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"390","Eucalyptus angularis",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,"yes","yes",NA,NA,NA,NA,"yes"
"391","Eucalyptus angulosa",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"392","Eucalyptus angustissima",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"393","Eucalyptus annettae",NA,NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"394","Eucalyptus annulata",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"395","Eucalyptus annuliformis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"396","Eucalyptus apiculata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"397","Eucalyptus apodophylla",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"398","Eucalyptus approximans subsp. approximans",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"399","Eucalyptus approximans subsp. codonocarpa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"400","Eucalyptus aquilina",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"401","Eucalyptus arachnaea subsp. arachnaea",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"402","Eucalyptus arachnaea subsp. arrecta",NA,NA,"yes","yes","yes","yes",NA,"yes","yes",NA,NA,"yes","yes",NA,NA,NA,"yes"
"403","Eucalyptus arborella",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"404","Eucalyptus archeri",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"405","Eucalyptus argophloia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"406","Eucalyptus argutifolia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"407","Eucalyptus aridimontana",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"408","Eucalyptus armillata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"409","Eucalyptus articulata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"410","Eucalyptus aspersa",NA,NA,"yes","yes","yes","yes",NA,"yes","yes","yes",NA,"yes",NA,"yes",NA,NA,"yes"
"411","Eucalyptus aspratilis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"412","Eucalyptus astringens subsp. astringens",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"413","Eucalyptus astringens subsp. redacta",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"414","Eucalyptus badjensis",NA,NA,"yes",NA,"yes",NA,NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,"yes"
"415","Eucalyptus baeuerlenii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"416","Eucalyptus bakeri",NA,NA,"yes","yes","yes",NA,NA,"yes","yes",NA,NA,"yes","yes",NA,NA,"yes","yes"
"417","Eucalyptus balladoniensis subsp. balladoniensis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,NA,NA,"yes","yes",NA,NA,NA,"yes"
"418","Eucalyptus balladoniensis subsp. sedens",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,NA,NA,"yes","yes",NA,NA,NA,"yes"
"419","Eucalyptus bancroftii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"420","Eucalyptus barberi",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"421","Eucalyptus baudiniana",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"422","Eucalyptus beardiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"423","Eucalyptus behriana",NA,NA,"yes","yes","yes",NA,NA,"yes","yes",NA,"yes","yes",NA,NA,NA,NA,"yes"
"424","Eucalyptus bensonii",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"425","Eucalyptus benthamii",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"426","Eucalyptus bigalerita",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"427","Eucalyptus blakelyi",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"428","Eucalyptus blaxellii",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"429","Eucalyptus bosistoana",NA,NA,"yes","yes","yes",NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"430","Eucalyptus brachycalyx",NA,NA,"yes","yes","yes","yes",NA,"yes","yes","yes","yes","yes",NA,NA,NA,NA,"yes"
"431","Eucalyptus brachyphylla",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,"yes"
"432","Eucalyptus brandiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"433","Eucalyptus brassiana",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes","yes"
"434","Eucalyptus brevifolia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"435","Eucalyptus brockwayi",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"436","Eucalyptus brookeriana",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"437","Eucalyptus broviniensis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"438","Eucalyptus buprestium",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"439","Eucalyptus burdettiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"440","Eucalyptus burgessiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"441","Eucalyptus burracoppinensis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,"yes"
"442","Eucalyptus calcareana",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"443","Eucalyptus calcicola subsp. calcicola",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"444","Eucalyptus calcicola subsp. unita",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"445","Eucalyptus calycogona subsp. calycogona",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"446","Eucalyptus calycogona subsp. miraculum",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"447","Eucalyptus calycogona subsp. spaffordii",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"448","Eucalyptus calycogona subsp. trachybasis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,NA,NA,"yes",NA,NA,NA,"yes","yes"
"449","Eucalyptus calyerup",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes","yes","yes",NA,NA,NA,"yes"
"450","Eucalyptus camaldulensis subsp. acuta",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"451","Eucalyptus camaldulensis subsp. arida",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"452","Eucalyptus camaldulensis subsp. camaldulensis",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"453","Eucalyptus camaldulensis subsp. minima",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"454","Eucalyptus camaldulensis subsp. obtusa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"455","Eucalyptus camaldulensis subsp. refulgens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"456","Eucalyptus camaldulensis subsp. simulata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"457","Eucalyptus cambageana",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes","yes",NA,NA,"yes","yes"
"458","Eucalyptus campaspe",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"459","Eucalyptus camphora subsp. camphora",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"460","Eucalyptus camphora subsp. humeana",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,"yes",NA,NA,NA,"yes"
"461","Eucalyptus canaliculata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"462","Eucalyptus canobolensis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"463","Eucalyptus capillosa subsp. capillosa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"464","Eucalyptus capillosa subsp. polyclada",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"465","Eucalyptus captiosa",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"466","Eucalyptus carnabyi",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"467","Eucalyptus carnei",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"468","Eucalyptus celastroides subsp. celastroides",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"469","Eucalyptus celastroides subsp. virella",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"470","Eucalyptus cerasiformis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"471","Eucalyptus ceratocorys",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,"yes"
"472","Eucalyptus cernua",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"473","Eucalyptus chapmaniana",NA,NA,"yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"474","Eucalyptus chartaboma",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,"yes","yes"
"475","Eucalyptus chloroclada",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,"yes",NA,NA,"yes"
"476","Eucalyptus cladocalyx",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"477","Eucalyptus clelandii",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"478","Eucalyptus clivicola",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"479","Eucalyptus coccifera",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"480","Eucalyptus concinna",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"481","Eucalyptus conferruminata subsp. conferruminata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"482","Eucalyptus conferruminata subsp. recherche",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"483","Eucalyptus confluens",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"484","Eucalyptus conglobata subsp. conglobata",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"485","Eucalyptus conglobata subsp. perata",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"486","Eucalyptus conveniens",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"487","Eucalyptus cooperiana",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"488","Eucalyptus cordata subsp. cordata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"489","Eucalyptus cordata subsp. quadrangulosa",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"490","Eucalyptus coronata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"491","Eucalyptus corrugata",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"492","Eucalyptus cosmophylla",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"493","Eucalyptus creta",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"494","Eucalyptus cretata",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"495","Eucalyptus crispata",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"496","Eucalyptus cunninghamii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"497","Eucalyptus cuprea",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"498","Eucalyptus cupularis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"499","Eucalyptus curtisii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"500","Eucalyptus cyanophylla",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"501","Eucalyptus cyclostoma",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"502","Eucalyptus cylindriflora",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"503","Eucalyptus cylindrocarpa",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"504","Eucalyptus cypellocarpa",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"505","Eucalyptus dalrympleana subsp. dalrympleana",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"506","Eucalyptus dalrympleana subsp. heptantha",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"507","Eucalyptus dawsonii",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"508","Eucalyptus dealbata",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"509","Eucalyptus deanei",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"510","Eucalyptus decurva",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"511","Eucalyptus deflexa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"512","Eucalyptus delegatensis subsp. delegatensis",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes"
"513","Eucalyptus delegatensis subsp. tasmaniensis",NA,NA,"yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"514","Eucalyptus delicata",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"515","Eucalyptus dendromorpha",NA,NA,"yes","yes","yes","yes",NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,"yes"
"516","Eucalyptus densa subsp. densa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"517","Eucalyptus densa subsp. improcera",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"518","Eucalyptus denticulata",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"519","Eucalyptus depauperata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"520","Eucalyptus desmondensis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"521","Eucalyptus deuaensis",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"522","Eucalyptus dielsii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"523","Eucalyptus diminuta",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"524","Eucalyptus diptera",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"525","Eucalyptus discreta",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"526","Eucalyptus dissimulata",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"527","Eucalyptus distuberosa subsp. aerata",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"528","Eucalyptus distuberosa subsp. distuberosa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"529","Eucalyptus diversicolor",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"530","Eucalyptus diversifolia subsp. diversifolia",NA,NA,"yes",NA,"yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"531","Eucalyptus dolichocera",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,NA,"yes",NA,NA,NA,NA,"yes"
"532","Eucalyptus dolichorhyncha",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"533","Eucalyptus dolorosa",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,NA
"534","Eucalyptus doratoxylon",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"535","Eucalyptus dorrienii",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"536","Eucalyptus dorrigoensis",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"537","Eucalyptus drummondii",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"538","Eucalyptus dumosa",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"539","Eucalyptus dundasii",NA,NA,"yes","yes",NA,NA,NA,"yes","yes",NA,NA,"yes",NA,NA,NA,"yes","yes"
"540","Eucalyptus dunnii",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"541","Eucalyptus dwyeri",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"542","Eucalyptus ebbanoensis subsp. ebbanoensis",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"543","Eucalyptus ebbanoensis subsp. photina",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes","yes",NA,NA,NA,NA,"yes"
"544","Eucalyptus ecostata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"545","Eucalyptus elaeophloia",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"546","Eucalyptus elata",NA,NA,"yes",NA,"yes",NA,NA,"yes",NA,"yes","yes",NA,"yes",NA,NA,NA,"yes"
"547","Eucalyptus elliptica",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"548","Eucalyptus erectifolia",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"549","Eucalyptus eremicola subsp. eremicola",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"550","Eucalyptus eremicola subsp. peeneri",NA,NA,"yes","yes",NA,"yes",NA,"yes","yes",NA,"yes","yes",NA,NA,NA,NA,"yes"
"551","Eucalyptus eremophila",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"552","Eucalyptus erythrandra",NA,NA,"yes","yes","yes",NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"553","Eucalyptus erythrocorys",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"554","Eucalyptus erythronema subsp. erythronema",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"555","Eucalyptus erythronema subsp. inornata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"556","Eucalyptus eudesmioides subsp. eudesmioides",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,"yes"
"557","Eucalyptus eudesmioides subsp. Pallida",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,NA,NA,"yes"
"558","Eucalyptus exigua",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"559","Eucalyptus exilis",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"560","Eucalyptus extensa",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"561","Eucalyptus extrica",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"562","Eucalyptus falcata",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"563","Eucalyptus famelica",NA,NA,"yes","yes",NA,"yes",NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"564","Eucalyptus fasciculosa",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes",NA,NA,NA,NA,NA,"yes"
"565","Eucalyptus fastigata",NA,NA,"yes","yes","yes","yes",NA,"yes","yes",NA,NA,NA,NA,NA,NA,NA,"yes"
"566","Eucalyptus flavida",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,"yes",NA,NA,NA,NA,"yes"
"567","Eucalyptus flindersii",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes","yes","yes",NA,"yes",NA,NA,"yes"
"568","Eucalyptus flocktoniae subsp. flocktoniae",NA,NA,"yes","yes",NA,NA,NA,"yes",NA,"yes",NA,NA,NA,"yes",NA,NA,"yes"
"569","Eucalyptus flocktoniae subsp. hebes",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"570","Eucalyptus foliosa",NA,NA,"yes","yes","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
"571","Eucalyptus forrestiana",NA,NA,"yes","yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"yes"
