Found?,Search term,Census,Matched name(s),Name status,Name type,Tags,canonicalName,scientificNameAuthorship,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,kingdom,class,subclass,family,genericName,specificEpithet,infraspecificEpithet,nameElement,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID
TRUE,Eucalyptus cameronii,APC,Eucalyptus cameronii Blakely & McKie,legitimate,scientific,[],Eucalyptus cameronii,Blakely & McKie,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,cameronii,,cameronii,,,,
FALSE,Eucalyptus cameronii x mckiei,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus camfieldii,APC,Eucalyptus camfieldii Maiden,legitimate,scientific,[],Eucalyptus camfieldii,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,camfieldii,,camfieldii,,,,
TRUE,Eucalyptus campanulata,APC,Eucalyptus campanulata R.T.Baker & H.G.Sm.,legitimate,scientific,[],Eucalyptus campanulata,R.T.Baker & H.G.Sm.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,campanulata,,campanulata,,,,
TRUE,Eucalyptus camphora,APC,Eucalyptus camphora R.T.Baker,legitimate,scientific,[],Eucalyptus camphora,R.T.Baker,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,camphora,,camphora,,,,
TRUE,Eucalyptus camphora subsp. camphora,APC,Eucalyptus camphora R.T.Baker subsp. camphora,legitimate,autonym,[],Eucalyptus camphora subsp. camphora,,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,camphora,camphora,camphora,,,,
TRUE,Eucalyptus camphora subsp. humeana,APC,Eucalyptus camphora subsp. humeana L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus camphora subsp. humeana,L.A.S.Johnson & K.D.Hill,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,camphora,humeana,humeana,,,,
TRUE,Eucalyptus camphora subsp. relicta,,Eucalyptus camphora subsp. relicta L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus camphora subsp. relicta,L.A.S.Johnson & K.D.Hill,Subspecies,200,subsp.,Plantae,,,Myrtaceae,Eucalyptus,camphora,relicta,relicta,,,,
TRUE,Eucalyptus canaliculata,APC,Eucalyptus canaliculata Maiden,legitimate,scientific,[],Eucalyptus canaliculata,Maiden,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,canaliculata,,canaliculata,,,,
FALSE,Eucalyptus canaliculata <--> punctata,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus cannonii,,Eucalyptus cannonii R.T.Baker,legitimate,scientific,[],Eucalyptus cannonii,R.T.Baker,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,cannonii,,cannonii,,,,
FALSE,Eucalyptus cannonii <--> macrorhyncha,,not found,,,,,,,,,,,,,,,,,,,,
TRUE,Eucalyptus canobolensis,APC,Eucalyptus canobolensis (L.A.S.Johnson & K.D.Hill) J.T.Hunter,legitimate,scientific,[],Eucalyptus canobolensis,(L.A.S.Johnson & K.D.Hill) J.T.Hunter,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,canobolensis,,canobolensis,,,,
TRUE,Eucalyptus capitellata,APC,Eucalyptus capitellata Sm.,legitimate,scientific,[],Eucalyptus capitellata,Sm.,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,capitellata,,capitellata,,,,
TRUE,Eucalyptus carnea,APC,Eucalyptus carnea R.T.Baker,legitimate,scientific,[],Eucalyptus carnea,R.T.Baker,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,carnea,,carnea,,,,
TRUE,Eucalyptus castrensis,APC,Eucalyptus castrensis K.D.Hill,legitimate,scientific,[],Eucalyptus castrensis,K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,castrensis,,castrensis,,,,
TRUE,Eucalyptus chapmaniana,APC,Eucalyptus chapmaniana Cameron,legitimate,scientific,[],Eucalyptus chapmaniana,Cameron,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,chapmaniana,,chapmaniana,,,,
TRUE,Eucalyptus chloroclada,APC,Eucalyptus chloroclada (Blakely) L.A.S.Johnson & K.D.Hill,legitimate,scientific,[],Eucalyptus chloroclada,(Blakely) L.A.S.Johnson & K.D.Hill,Species,190,sp.,Plantae,,,Myrtaceae,Eucalyptus,chloroclada,,chloroclada,,,,
